,dataset,loss,seed,coverage,length,target,lr,dropout
0,naval,IR,0,0.8814411163330078,2.862555980682373,0.9,0.0005,0.3
0,naval,IR,1,0.9132802486419678,3.0637311935424805,0.9,0.0005,0.2
0,naval,IR,2,0.9078341126441956,3.4794812202453613,0.9,0.0005,0.3
0,naval,IR,3,0.892333447933197,2.2655467987060547,0.9,0.0001,0.1
0,naval,IR,4,0.8998743295669556,2.319530248641968,0.9,0.0005,0.1
0,naval,IR,5,0.8860494494438171,2.952010154724121,0.9,0.0005,0.3
0,naval,IR,6,0.8910766839981079,2.199209690093994,0.9,0.1,0.3
0,naval,IR,7,0.8940092325210571,1.7513471841812134,0.9,0.05,0.2
0,naval,IR,8,0.9187264442443848,3.304002523422241,0.9,0.0005,0.2
0,naval,IR,9,0.892333447933197,1.4350072145462036,0.9,0.1,0.3
