,dataset,loss,seed,coverage,length,target,lr,dropout
0,energy,IR,0,0.8766233921051025,1.9698914289474487,0.9,0.001,0.2
0,energy,IR,1,0.8896104097366333,1.2363641262054443,0.9,0.1,0.1
0,energy,IR,2,0.91558438539505,1.2463914155960083,0.9,0.1,0.3
0,energy,IR,3,0.8831169009208679,1.223355412483215,0.9,0.1,0.3
0,energy,IR,4,0.8831169009208679,2.470264434814453,0.9,0.0005,0.3
0,energy,IR,5,0.8896104097366333,1.2542409896850586,0.9,0.1,0.2
0,energy,IR,6,0.9220778942108154,1.3724437952041626,0.9,0.05,0.1
0,energy,IR,7,0.8896104097366333,1.3326904773712158,0.9,0.05,0.1
0,energy,IR,8,0.8441558480262756,1.4423834085464478,0.9,0.001,0.3
0,energy,IR,9,0.8896104097366333,2.2130167484283447,0.9,0.1,0.1
