,dataset,loss,seed,coverage,length,target,lr,dropout
0,concrete,WS,0,0.844660222530365,1.396792769432068,0.9,0.05,0.1
0,concrete,WS,1,0.8640776872634888,1.46831214427948,0.9,0.05,0.2
0,concrete,WS,2,0.8495145440101624,1.3988035917282104,0.9,0.05,0.1
0,concrete,WS,3,0.8980582356452942,1.506859540939331,0.9,0.1,0.2
0,concrete,WS,4,0.8495145440101624,1.4708290100097656,0.9,0.05,0.1
0,concrete,WS,5,0.8495145440101624,1.4257655143737793,0.9,0.001,0.3
0,concrete,WS,6,0.8058252334594727,1.366762638092041,0.9,0.05,0.1
0,concrete,WS,7,0.9029126167297364,1.4681003093719482,0.9,0.1,0.3
0,concrete,WS,8,0.8203883767127991,1.4154384136199951,0.9,0.0001,0.2
0,concrete,WS,9,0.8980582356452942,1.5256061553955078,0.9,0.01,0.3
