,dataset,loss,seed,coverage,length,target,lr,dropout
0,concrete,IR,0,0.9029126167297364,1.446945309638977,0.9,0.1,0.1
0,concrete,IR,1,0.9077669978141784,1.5216424465179443,0.9,0.05,0.2
0,concrete,IR,2,0.8883495330810547,1.4629472494125366,0.9,0.1,0.3
0,concrete,IR,3,0.8932039141654968,1.5027222633361816,0.9,0.1,0.1
0,concrete,IR,4,0.8640776872634888,1.4681581258773804,0.9,0.1,0.1
0,concrete,IR,5,0.9320388436317444,1.487143635749817,0.9,0.05,0.1
0,concrete,IR,6,0.8640776872634888,1.7809033393859863,0.9,0.005,0.1
0,concrete,IR,7,0.9029126167297364,1.481935977935791,0.9,0.05,0.2
0,concrete,IR,8,0.9417476058006288,1.659254789352417,0.9,0.01,0.2
0,concrete,IR,9,0.9029126167297363,2.6711645126342773,0.9,0.001,0.1
